,x,y
0,0.324305794,0.594760479
1,0.556564964,0.680838323
2,0.555879328,0.785329341
3,0.247171752,0.519161677
4,0.364887727,0.444011976
5,0.634384642,0.730389222
6,0.455262256,0.64505988
7,0.245971889,0.65494012
8,0.320877614,0.724700599
9,0.331120158,0.296706587
10,0.378985259,0.565718563
11,0.247000343,0.778443114
12,0.72386013,0.237724551
13,0.658753857,0.177994012
14,0.433769565,0.345336835
15,0.583343535,0.242087191
16,0.682893384,0.67754491
17,0.430365958,0.399401198
18,0.400582791,0.674101796
19,0.594789167,0.548952096
20,0.500857045,0.478892216
21,0.643669866,0.249700599
22,0.537739116,0.149251497
23,0.564106959,0.429790419
24,0.41069592,0.11511976
25,0.21888927,0.255538922
26,0.173980117,0.339371257
27,0.168495029,0.455688623
28,0.715118272,0.322754491
29,0.900239973,0.379341317
30,0.309907439,0.189520958
31,0.398354474,0.786377246
32,0.63798423,0.301347305
33,0.738944121,0.166017964
34,0.645011999,0.369610778
35,0.626157011,0.523652695
36,0.692663696,0.557784431
37,0.63969832,0.626946108
38,0.48988687,0.408233533
39,0.47805965,0.735778443
40,0.872985944,0.655239521
41,0.77785396,0.651646707
42,0.760329174,0.564806587
43,0.822077477,0.464071856
44,0.646726088,0.445209581
45,0.72214604,0.391017964
46,0.575077134,0.500449102
47,0.762427151,0.502694611
48,0.771340418,0.414371257
49,0.487315735,0.567964072
50,0.916695235,0.510778443
51,0.172094618,0.708682635
52,0.736201577,0.438622754
53,0.892526568,0.469610778
54,0.953548166,0.567365269
55,0.96126157,0.633383234
56,0.86527254,0.589221557
57,0.838189921,0.72260479
58,0.43040084,0.223022605
59,0.743057936,0.719011976
60,0.577657899,0.293733898
61,0.5263995,0.27858285
62,0.630099417,0.067664671
63,0.509084676,0.038922156
64,0.802324374,0.60807006
65,0.819979499,0.526183832
66,0.824477203,0.241167665
67,0.815735345,0.326197605
68,0.168837847,0.579341317
69,0.694549194,0.771856287
70,0.493290477,0.354169171
71,0.482656007,0.308778602
72,0.562392869,0.354191617
